mode: set
RESTApp/utils/mongodal/mongoDAL.go:92.55,97.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:100.52,102.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:108.53,114.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:117.49,123.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:126.64,128.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:131.65,133.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:136.68,138.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:141.66,146.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:149.85,151.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:154.116,156.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:159.113,161.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:164.68,169.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:172.55,174.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:177.46,179.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:182.55,184.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:187.49,190.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:193.60,196.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:199.50,202.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:205.95,207.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:210.55,212.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:215.54,217.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:220.54,222.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:225.42,230.2 2 0
RESTApp/utils/mongodal/mongoDAL.go:233.39,235.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:238.37,240.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:243.55,245.2 1 0
RESTApp/utils/mongodal/mongoDAL.go:248.40,250.2 1 0
RESTApp/dao/StudentDao.go:35.71,42.16 6 1
RESTApp/dao/StudentDao.go:46.2,46.12 1 1
RESTApp/dao/StudentDao.go:42.16,45.3 2 0
RESTApp/dao/StudentDao.go:50.63,55.42 4 1
RESTApp/dao/StudentDao.go:59.2,59.12 1 1
RESTApp/dao/StudentDao.go:55.42,58.3 1 1
RESTApp/dao/StudentDao.go:63.85,70.2 5 1
RESTApp/dao/StudentDao.go:73.79,78.2 4 1
RESTApp/dao/StudentDao.go:81.83,88.2 4 1
RESTApp/dao/StudentDao.go:91.66,98.2 3 0
RESTApp/dao/PlaneDao.go:14.70,20.16 5 1
RESTApp/dao/PlaneDao.go:23.2,24.8 2 1
RESTApp/dao/PlaneDao.go:20.16,22.3 1 0
RESTApp/dao/PlaneDao.go:28.72,34.2 5 1
RESTApp/dao/PlaneDao.go:37.75,43.2 5 1
RESTApp/dao/PlaneDao.go:46.71,51.16 5 1
RESTApp/dao/PlaneDao.go:54.2,54.13 1 1
RESTApp/dao/PlaneDao.go:51.16,53.3 1 1
RESTApp/dao/PlaneDao.go:58.70,62.16 4 1
RESTApp/dao/PlaneDao.go:65.2,65.13 1 0
RESTApp/dao/PlaneDao.go:62.16,64.3 1 1
RESTApp/dao/PlaneDao.go:69.81,75.2 5 1
RESTApp/controller/student_aggregates.go:12.72,13.71 1 1
RESTApp/controller/student_aggregates.go:13.71,15.24 1 0
RESTApp/controller/student_aggregates.go:22.3,22.20 1 0
RESTApp/controller/student_aggregates.go:15.24,17.18 2 0
RESTApp/controller/student_aggregates.go:20.4,20.42 1 0
RESTApp/controller/student_aggregates.go:17.18,19.5 1 0
RESTApp/controller/student_aggregates.go:22.21,30.4 0 0
RESTApp/controller/controller.go:51.59,76.2 16 1
RESTApp/controller/controller.go:79.57,81.2 1 0
RESTApp/controller/controller.go:83.52,85.2 1 0
RESTApp/controller/controller.go:88.71,112.71 1 1
RESTApp/controller/controller.go:112.71,113.24 1 1
RESTApp/controller/controller.go:117.3,118.17 2 1
RESTApp/controller/controller.go:123.3,126.15 4 1
RESTApp/controller/controller.go:113.24,116.4 1 1
RESTApp/controller/controller.go:118.17,121.4 2 0
RESTApp/controller/controller.go:131.59,135.2 3 1
RESTApp/controller/controller.go:138.63,171.71 1 1
RESTApp/controller/controller.go:171.71,172.25 1 1
RESTApp/controller/controller.go:177.3,177.20 1 1
RESTApp/controller/controller.go:172.25,175.4 2 1
RESTApp/controller/controller.go:177.20,181.18 3 1
RESTApp/controller/controller.go:184.4,188.18 3 1
RESTApp/controller/controller.go:196.4,201.24 6 1
RESTApp/controller/controller.go:181.18,183.5 1 1
RESTApp/controller/controller.go:188.18,194.5 2 1
RESTApp/controller/controller.go:207.72,234.71 1 1
RESTApp/controller/controller.go:234.71,235.27 1 1
RESTApp/controller/controller.go:239.3,243.10 5 1
RESTApp/controller/controller.go:235.27,238.4 2 1
RESTApp/controller/controller.go:243.10,246.4 2 1
RESTApp/controller/controller.go:246.9,251.4 4 1
RESTApp/controller/controller.go:256.70,279.71 1 1
RESTApp/controller/controller.go:279.71,280.27 1 0
RESTApp/controller/controller.go:286.3,289.17 4 0
RESTApp/controller/controller.go:293.3,300.17 8 0
RESTApp/controller/controller.go:305.3,305.17 1 0
RESTApp/controller/controller.go:311.3,312.10 2 0
RESTApp/controller/controller.go:317.3,320.15 4 0
RESTApp/controller/controller.go:280.27,284.4 3 0
RESTApp/controller/controller.go:289.17,291.4 1 0
RESTApp/controller/controller.go:300.17,304.4 3 0
RESTApp/controller/controller.go:305.17,309.4 3 0
RESTApp/controller/controller.go:312.10,316.4 3 0
RESTApp/controller/controller.go:326.65,351.71 1 1
RESTApp/controller/controller.go:351.71,354.24 1 1
RESTApp/controller/controller.go:361.3,361.20 1 1
RESTApp/controller/controller.go:354.24,359.4 4 1
RESTApp/controller/controller.go:361.20,372.18 7 1
RESTApp/controller/controller.go:383.4,392.18 5 1
RESTApp/controller/controller.go:396.4,397.18 2 1
RESTApp/controller/controller.go:401.4,403.16 3 1
RESTApp/controller/controller.go:372.18,380.5 6 1
RESTApp/controller/controller.go:392.18,394.5 1 0
RESTApp/controller/controller.go:397.18,399.5 1 0
RESTApp/controller/controller.go:410.71,434.71 1 1
RESTApp/controller/controller.go:434.71,437.24 1 1
RESTApp/controller/controller.go:446.3,450.17 4 1
RESTApp/controller/controller.go:459.3,462.19 4 1
RESTApp/controller/controller.go:437.24,444.4 4 1
RESTApp/controller/controller.go:450.17,456.4 5 1
RESTApp/controller/controller.go:467.65,497.71 1 1
RESTApp/controller/controller.go:497.71,500.25 1 1
RESTApp/controller/controller.go:508.3,508.20 1 1
RESTApp/controller/controller.go:500.25,506.4 4 1
RESTApp/controller/controller.go:508.20,520.18 7 1
RESTApp/controller/controller.go:526.4,527.18 2 1
RESTApp/controller/controller.go:536.4,540.21 5 1
RESTApp/controller/controller.go:520.18,522.5 1 1
RESTApp/controller/controller.go:527.18,528.58 1 1
RESTApp/controller/controller.go:532.5,534.11 3 1
RESTApp/controller/controller.go:528.58,531.6 1 1
RESTApp/controller/controller.go:545.53,549.32 2 1
RESTApp/controller/controller.go:553.2,553.52 1 1
RESTApp/controller/controller.go:557.2,557.54 1 1
RESTApp/controller/controller.go:549.32,551.3 1 1
RESTApp/controller/controller.go:553.52,555.3 1 1
RESTApp/controller/controller.go:557.54,559.3 1 0
RESTApp/controller/controller.go:563.68,587.71 1 1
RESTApp/controller/controller.go:587.71,589.27 1 1
RESTApp/controller/controller.go:598.3,603.17 3 1
RESTApp/controller/controller.go:610.3,613.20 4 1
RESTApp/controller/controller.go:589.27,592.4 2 1
RESTApp/controller/controller.go:603.17,609.4 5 1
RESTApp/controller/controller.go:619.69,620.71 1 1
RESTApp/controller/controller.go:620.71,643.24 1 1
